OBJECTID,Name,Area_Code,Work_ID,zone_code,Gov,Address,Shape_Leng,حالة الحصر,المباني المنجزة,إجمالي المباني,عدد الوحدات,نسبة الإنجاز %,عدد الفرق,عدد المهندسين,آخر تحديث بواسطة,Shape_Length,Shape_Area
217,الوسطى--النصيرات-أرض المفتي,MNU0002,INDAS_M001,FMNU0002_E001,الوسطى,منطقة مربع المفتي والمخيم الجديد وارض ابو مهادي,1939.01212219,قيد الحصر,131.0,182.0,434,72.0,1.0,2.0,فاطمة جبر,1939.0121221869122,169568.75894169076
218,الوسطى--النصيرات-أرض المفتي,MNU0002,INDAS_M001,FMNU0002_E003,الوسطى,منطقة مربع المفتي والمخيم الجديد وارض ابو مهادي,1671.39923837,قيد الحصر,242.0,356.0,524,68.0,1.0,2.0,فاطمة جبر,1671.3992383736065,113538.85035228812
219,غزة-المغراقة,GZA0004,INDAS_G048,FGZA0004_E016,غزة, ,4146.73166396,مناطق حصر جديدة,,256.0,139,,,,,4146.731663955647,812552.0279485553
220,غزة-المغراقة,GZA0004,INDAS_G048,FGZA0004_E017,غزة, ,4208.98462504,مناطق حصر جديدة,,364.0,305,,,,,4208.984625038507,867624.69315083
221,غزة-المغراقة,GZA0004,INDAS_G048,FGZA0004_E018,غزة, ,3495.85170825,مناطق حصر جديدة,,392.0,399,,,,,3495.851708248389,614421.7180732512
222,غزة-المغراقة,GZA0004,INDAS_G048,FGZA0004_E019,غزة, ,4922.35099398,مناطق حصر جديدة,,329.0,424,,,,,4922.350993979802,757234.3172726118
223,الوسطى-دير البلح-مربع المشاعلة الغربي ومربع صالة سونستا للأفراح,MDB0003,INDAS_M010,FMDB0003_E009,الوسطى, ,3429.57387826,مناطق حصر جديدة,74.0,195.0,160,,,,,3429.5738782648455,690718.6138923608
224,الوسطى-دير البلح-مربع المشاعلة الشرقي ومربع مسجد البركة,MDB0003,INDAS_M011,FMDB0003_E010,الوسطى, ,3665.42221302,مناطق حصر جديدة,131.0,291.0,300,,,,,3665.4222130198846,609436.8659277199
225,الوسطى-دير البلح-مربع مسجد الأبرار,MDB0003,INDAS_M012,FMDB0003_E011,الوسطى, ,3712.81502579,مناطق حصر جديدة,,506.0,395,,,,,3712.815025790046,774526.7849403449
226,الوسطى-دير البلح-مربع أم ظهير ومسجد الرياطي,MDB0003,INDAS_M015,FMDB0003_E012,الوسطى, ,4533.35231891,مناطق حصر جديدة,95.0,369.0,291,,,,,4533.352318914066,1152279.8361070005
227,دير البلح-قصر أبو سليم,MDB0003,INDAS_M013,FMDB0003_E002,الوسطى,من شارع الحكر من جامع الفرقان الى ابو هولي,3111.58590985,تم الانتهاء,252.0,275.0,228,92.0,,,فاطمة جبر,3111.585909852342,413786.2159974037
228,الوسطى-دير البلح-مربع بوبع أرض القدرة وأبو هولي (الجعفراوي الغربي),MDB0003,INDAS_M014,FMDB0003_E013,الوسطى, ,3622.19015303,مناطق حصر جديدة,,410.0,315,,,,,3622.190153032477,748028.4494067552
